iter	Passed	Remaining
745	1104178	375953
746	1105286	374347
747	1107590	373145
748	1108546	371488
749	1110117	370039
750	1111709	368596
751	1114113	367420
752	1116016	366077
753	1117369	364552
754	1118592	362986
755	1119797	361416
756	1121096	359876
757	1122578	358395
758	1123865	356853
759	1125140	355307
760	1127160	353996
761	1128239	352389
762	1129348	350793
763	1130710	349277
764	1132516	347897
765	1134796	346661
766	1135889	345061
767	1137243	343542
768	1138900	342114
769	1140094	340547
770	1142386	339308
771	1143844	337819
772	1145444	336372
773	1146693	334822
774	1148453	333421
775	1149937	331940
776	1151492	330479
777	1152817	328953
778	1154060	327403
779	1155246	325838
780	1156761	324367
781	1158405	322931
782	1159788	321422
783	1160856	319827
784	1162385	318360
785	1163843	316873
786	1165126	315339
787	1166734	313892
788	1168400	312461
789	1170292	311090
790	1171714	309593
791	1173926	308303
792	1175645	306883
793	1177192	305417
794	1179001	304019
795	1180506	302541
796	1182706	301241
797	1184116	299738
798	1185667	298271
799	1187144	296786
800	1188825	295351
801	1190420	293894
802	1192096	292457
803	1194168	291115
804	1195823	289671
805	1197732	288288
806	1199681	286912
807	1201962	285614
808	1203491	284137
809	1204613	282563
810	1206196	281098
811	1207657	279605
812	1209513	278202
813	1211409	276808
814	1212642	275262
815	1214014	273748
816	1215333	272222
817	1216780	270726
818	1218739	269343
819	1219924	267788
820	1221406	266299
821	1222998	264834
822	1224310	263308
823	1225439	261744
824	1226573	260182
825	1227981	258678
826	1229036	257101
827	1230186	255546
828	1231703	254066
829	1233195	252582
830	1234527	251065
831	1235999	249576
832	1237541	248102
833	1239087	246628
834	1240277	245084
835	1241738	243594
836	1243464	242156
837	1245294	240737
838	1246641	239224
839	1248230	237758
840	1249578	236246
841	1250596	234672
842	1251796	233134
843	1253354	231662
844	1254780	230166
845	1256121	228655
846	1257984	227239
847	1259150	225696
848	1260686	224221
849	1262477	222790
850	1263663	221252
851	1265067	219753
852	1266755	218303
853	1268872	216926
854	1270395	215447
855	1271890	213962
856	1273954	212573
857	1275186	211044
858	1276736	209569
859	1277983	208043
860	1280035	206649
861	1281691	205189
862	1283517	203756
863	1284963	202262
864	1286844	200836
865	1288171	199324
866	1289960	197883
867	1291392	196386
868	1292878	194898
869	1294552	193438
870	1296480	192016
871	1297780	190499
872	1299037	188977
873	1300937	187549
874	1302772	186110
875	1304956	184719
876	1306771	183275
877	1308633	181837
878	1310149	180350
879	1311626	178858
880	1313063	177360
881	1315155	175950
882	1316250	174406
883	1318024	172953
884	1319658	171481
885	1321159	169991
886	1322708	168507
887	1324711	167080
888	1326102	165576
889	1327399	164060
890	1329181	162604
891	1330392	161078
892	1332931	159712
893	1334219	158196
894	1335385	156665
895	1336881	155173
896	1338889	153740
897	1340491	152260
898	1342036	150773
899	1343583	149287
900	1345084	147795
901	1346923	146339
902	1348326	144836
903	1350917	143460
904	1352430	141967
905	1354660	140549
906	1356376	139077
907	1357799	137574
908	1359259	136075
909	1360290	134534
910	1361782	133039
911	1362997	131517
912	1364549	130028
913	1366654	128591
914	1368384	127117
915	1369663	125602
916	1371322	124121
917	1373221	122662
918	1374491	121146
919	1375890	119642
920	1377144	118126
921	1378468	116616
922	1380052	115129
923	1382130	113681
924	1383499	112175
925	1385018	110681
926	1386263	109166
927	1387505	107651
928	1389318	106180
929	1390777	104682
930	1392131	103176
931	1393055	101639
932	1394541	100143
933	1396072	98651
934	1397818	97174
935	1399314	95679
936	1400722	94178
937	1403209	92749
938	1404898	91266
939	1406488	89775
940	1407807	88268
941	1409351	86775
942	1410950	85285
943	1412077	83767
944	1413737	82281
945	1415007	80772
946	1416438	79272
947	1417914	77775
948	1419626	76291
949	1421402	74810
950	1423350	73337
951	1425296	71863
952	1426933	70373
953	1428726	68890
954	1430879	67423
955	1433221	65964
956	1435288	64490
957	1436796	62991
958	1438225	61488
959	1440367	60015
960	1441930	58517
961	1443273	57010
962	1444666	55506
963	1445840	53994
964	1446964	52480
965	1448096	50968
966	1449980	49482
967	1451730	47991
968	1453500	46500
969	1455259	45008
970	1456613	43503
971	1458401	42011
972	1460390	40524
973	1462054	39028
974	1464190	37543
975	1466214	36054
976	1467494	34546
977	1468827	33041
978	1470048	31533
979	1471210	30024
980	1472740	28524
981	1474301	27023
982	1475790	25522
983	1477507	24024
984	1478973	22522
985	1480253	21017
986	1481834	19517
987	1483277	18015
988	1484630	16512
989	1486667	15016
990	1487744	13511
991	1489512	12012
992	1490771	10508
993	1493172	9013
994	1494101	7508
995	1496312	6009
996	1497722	4506
997	1499308	3004
998	1500890	1502
999	1501947	0
